id,name,calcium_amount_mg,fat_amount_g,iron_amount_mg,protein_amount_g,calories_amount_kcal,sugar_amount_g,sodium_amount_mg,saturated_fat_amount_g,fiber_amount_g,carbohydrates_amount_g,pct_protein,pct_fat,pct_carbs,flavor,savory,sweet,salty,sour,bitter,fatty,spicy,neutral,texture,soft,tender,juicy,smooth,chewy,crunchy,liquid,creamy,crispy,powdery,flaky,gooey,slimy,moist,crumbly,fluffy,moist,sticky,dry,oily,hard
15157,clams,0.76,0.02,0.03,0.29,1.68,0,1.09,0,0,0.07,71.95,10.57,17.48,salty; savory,1,0,1,0,0,0,0,0,tender; chewy; slimy,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10015157,littleneck clams,0.76,0.02,0.03,0.29,1.68,0,1.09,0,0,0.07,71.95,10.57,17.48,salty; savory,1,0,1,0,0,0,0,0,tender; chewy; juicy,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10044,bone in pork rib roast,21.78,9.62,0.51,17.67,162.04,0,48.79,2.06,0,0,44.95,55.05,0.00,savory; fatty,1,0,0,0,0,1,0,0,tender; moist; juicy,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
5195,turkey wings,12.57,11.06,1.13,18.15,176.87,,49.38,2.94,0,0,42.18,57.82,0.00,savory; fatty,1,0,0,0,0,1,0,0,tender; juicy; moist,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
15136,crab,2.41,0.03,0.03,0.96,4.41,,43.89,0,0,0,93.13,6.87,0.00,savory; salty,1,0,1,0,0,0,0,0,tender; juicy; soft; slimy,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10192,baby back ribs,20.9,11.01,0.51,12.86,151,0,58.65,3.9,0,0,34.17,65.83,0.00,savory; fatty,1,0,0,0,0,1,0,0,tender; juicy,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17047,lamb shoulder,8.09,3.51,1.17,13.48,88.98,,46.51,1.25,0,0,63.08,36.92,0.00,savory; fatty,1,0,0,0,0,1,0,0,tender; juicy; moist,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
5153,pheasant,39.94,30.92,3.83,75.55,602.4,,133.13,8.99,0,0,52.06,47.94,0.00,savory,1,0,0,0,0,0,0,0,tender; moist; juicy,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
5317,duck leg,9.52,10.86,1.98,25.47,206.63,,104.74,2.83,,0,51.05,48.95,0.00,fatty; savory,1,0,0,0,0,1,0,0,tender; moist; oily,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
10013149,bone in beef short ribs,9.58,12.2,2.59,22.81,207.12,,77.82,5.18,0,0,45.38,54.62,0.00,savory; fatty,1,0,0,0,0,1,0,0,tender; juicy; moist,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1005096,bone in skinless chicken thighs,4.86,2.22,0.43,10.4,64.26,0,48.06,0.56,0,0,67.56,32.44,0.00,savory; fatty,1,0,0,0,0,1,0,0,tender; moist; juicy,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
5075,chicken leg,4.1,7.27,0.31,7.46,97.58,0,38.3,1.99,0,0.08,31.22,68.45,0.33,savory; salty,1,0,1,0,0,0,0,0,tender; juicy,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10110204,country style pork ribs,15.87,8.53,0.61,13.95,136.36,0,45.45,1.71,0,0,42.10,57.90,0.00,savory; salty,1,0,1,0,0,0,0,0,tender; fatty; juicy; moist,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
10204,country style ribs,15.87,8.53,0.61,13.95,136.36,0,45.45,1.71,0,0,42.10,57.90,0.00,savory; fatty,1,0,0,0,0,1,0,0,tender; juicy; soft,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10093795,bone in bison short ribs,106.58,16.54,2.69,21.05,230.06,0,159.87,8.27,0,0,36.13,63.87,0.00,savory; salty,1,0,1,0,0,0,0,0,tender; juicy; moist,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
10110088,pork ribs,12.49,19.49,0.76,12.89,230.74,0,67.47,6.27,0,0,22.71,77.29,0.00,savory; fatty,1,0,0,0,0,1,0,0,tender; juicy; moist,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
10088,spare ribs,12.49,19.49,0.76,12.89,230.74,0,67.47,6.27,0,0,22.71,77.29,0.00,savory; salty; fatty,1,0,1,0,0,1,0,0,tender; juicy; soft,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10036,bone in pork chops,21.38,10.16,0.71,23.3,191.25,0,61.88,3.37,0,0,50.48,49.52,0.00,savory; salty; fatty,1,0,1,0,0,1,0,0,tender; juicy; moist,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
35028,cockles,0.36,0.01,0.19,0.16,0.95,,,,,0.06,68.27,7.96,23.77,salty; savory,1,0,1,0,0,0,0,0,chewy; tender,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5160,pigeon,14.23,28.22,4.2,21.9,348.63,,64.03,10,0,0,25.65,74.35,0.00,savory; fatty,1,0,0,0,0,1,0,0,tender; juicy; soft,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17029,rack of lamb,13.58,31.13,1.26,13.14,336.73,,50.69,13.72,0,0,15.80,84.20,0.00,fatty; savory,1,0,0,0,0,1,0,0,tender; juicy,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1005006,chicken pieces,7.11,9.73,0.58,12.02,138.89,0,45.22,2.78,0,0,35.44,64.56,0.00,savory; fatty,1,0,0,0,0,1,0,0,tender; juicy,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15164,mussels,5.7,0.49,0.87,2.61,18.86,0,62.72,0.09,0,0.81,57.68,24.43,17.89,salty; savory,1,0,1,0,0,0,0,0,chewy; tender; slimy,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1005062,bone in chicken breast,6.4,3.32,0.47,27.17,145.92,0,148.48,0.73,0,0,78.46,21.54,0.00,savory,1,0,0,0,0,0,0,0,tender; moist,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1035062,bone in chicken breast halves,6.4,3.32,0.47,27.17,145.92,0,148.48,0.73,0,0,78.46,21.54,0.00,savory,1,0,0,0,0,0,0,0,tender; moist,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1005057,bone in skin on chicken breast,14.08,11.84,0.95,26.69,220.16,0,80.64,3.4,0,0,50.05,49.95,0.00,savory; fatty,1,0,0,0,0,1,0,0,tender; moist; juicy; crispy,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
1005100,chicken drumettes,2.98,3.97,0.24,4.55,55.14,0,18.13,1.11,0,0,33.78,66.22,0.00,savory; salty,1,0,1,0,0,0,0,0,tender; juicy,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5100,chicken wings,2.98,3.97,0.24,4.55,55.14,0,18.13,1.11,0,0,33.78,66.22,0.00,savory; fatty,1,0,0,0,0,1,0,0,tender; juicy; crispy,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
23074,country style beef ribs,15.56,7.21,2.32,21.74,151.46,0,85.07,3.24,0,0,57.27,42.73,0.00,savory; salty,1,0,1,0,0,0,0,0,tender; fatty; juicy; moist,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
5080,skinless chicken leg,2.74,1.15,0.21,5.24,32.83,0,26.27,0.29,0,0,66.86,33.14,0.00,savory,1,0,0,0,0,0,0,0,tender; juicy; moist,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
13833,prime rib,14.29,50.26,2.7,25.64,563.6,,84.14,20.99,0,0,18.48,81.52,0.00,savory; fatty,1,0,0,0,0,1,0,0,tender; juicy; moist,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
5071,skinless chicken drumsticks,2.84,1.09,0.19,5.35,32.68,0,31.83,0.27,0,0,68.67,31.33,0.00,savory,1,0,0,0,0,0,0,0,tender; juicy; moist,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
5193,turkey drumsticks,23.42,9.26,2.37,26.92,198.4,,101.96,2.84,0,0,56.38,43.62,0.00,savory,1,0,0,0,0,0,0,0,tender; juicy; moist,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
11492,spaghetti squash,13.06,0.32,0.18,0.36,17.61,1.57,9.66,0.07,0.85,3.92,7.25,14.52,78.23,neutral,0,0,0,0,0,0,0,1,tender; moist,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1005091,bone in skin on chicken thighs,11.56,24,0.97,23.47,316.45,0,111.26,6.47,0,0.36,30.15,69.39,0.46,savory; fatty,1,0,0,0,0,1,0,0,tender; juicy; moist,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
5066,chicken drumsticks,3.82,3.55,0.24,6.72,60.72,0,39.72,0.94,0,0.04,45.57,54.15,0.28,savory; salty,1,0,1,0,0,0,0,0,tender; juicy,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1005091,bone in skin on chicken thighs,8.7,18.07,0.73,17.67,238.27,0,83.78,4.87,0,0.27,30.15,69.39,0.46,savory; fatty,1,0,0,0,0,1,0,0,tender; juicy; moist,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
99201,bone in skin on turkey breast,0,9.14,0,36.23,226.84,0,332.47,3.03,0,1.52,62.12,35.27,2.61,savory; fatty,1,0,0,0,0,1,0,0,tender; moist; juicy; crispy,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
10194,boneless pork rib roast,5.56,15.59,0.79,22.14,234.74,0,46.72,5.41,0,0,38.70,61.30,0.00,savory; fatty,1,0,0,0,0,1,0,0,tender; moist,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
17305,lamb chop,14.46,8.68,2.76,30.74,209.15,,73.43,3.51,,0,61.16,38.84,0.00,savory; fatty,1,0,0,0,0,1,0,0,tender; juicy,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1011,colby jack,191.8,8.99,0.21,6.66,110.32,0.15,169.12,5.66,0,0.72,24.14,73.25,2.61,salty; fatty,0,0,1,0,0,1,0,0,oily,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1033,parmesan,118.4,2.58,0.08,3.58,39.2,0.08,160.2,1.64,0,0.32,36.82,59.86,3.32,salty; savory,1,0,1,0,0,0,0,0,hard; crumbly; flaky,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
1038,pecorino romano,106.4,2.69,0.08,3.18,38.7,0.07,120,1.71,0,0.36,33.11,63.11,3.78,salty; savory,1,0,1,0,0,0,0,0,hard; crumbly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1040,swiss cheese,249.2,8.68,0.04,7.56,110.04,0,51.8,5.1,0,0.4,27.50,71.04,1.46,salty; savory; fatty,1,0,1,0,0,1,0,0,chewy; soft; oily,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1053,cream,19.8,10.83,0.03,0.85,102,0.88,8.1,6.9,0,0.85,3.27,93.46,3.27,fatty; sweet,0,1,0,0,0,1,0,0,creamy; smooth; oily,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1067,soy creamer,1.35,1.5,0,0.15,20.4,1.71,10.05,0.29,0,1.71,2.87,64.40,32.73,sweet; fatty,0,1,0,0,0,1,0,0,smooth; creamy,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1103,1 percent chocolate milk,261.6,4.56,0.58,7.18,182.4,22.92,158.4,2.83,1.68,29.04,15.44,22.08,62.48,sweet; fatty,0,1,0,0,0,1,0,0,smooth,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1117,low fat plain yogurt,274.5,2.33,0.12,7.88,94.5,10.56,105,1.5,0,10.56,33.28,22.10,44.62,sour,0,0,0,1,0,0,0,0,creamy; smooth,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1118,fat free yogurt,298.5,0.27,0.14,8.6,84,11.52,115.5,0.17,0,11.52,41.48,2.93,55.59,sour,0,0,0,1,0,0,0,0,creamy; smooth,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1186,block style cream cheese,105.3,0.3,0.06,4.71,31.5,1.64,210.6,0.19,0,2.3,61.30,8.79,29.91,fatty; salty,0,0,1,0,0,1,0,0,soft; creamy; smooth,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,bay leaves,8.34,0.08,0.43,0.08,3.13,,0.23,0.02,0.26,0.75,7.51,18.55,73.94,bitter; savory,1,0,0,0,1,0,0,0,flaky,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2024,yellow mustard seeds,15.96,2.17,0.55,1.56,30.48,0.41,0.78,0.12,0.73,1.69,19.22,60.08,20.70,spicy; bitter,0,0,0,0,1,0,1,0,crunchy; hard,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2031,ground cayenne pepper,4.44,0.52,0.23,0.36,9.54,0.31,0.9,0.1,0.82,1.7,11.17,36.15,52.68,spicy,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2032,white pepper,7.95,0.06,0.43,0.31,8.88,,0.15,0.02,0.79,2.06,12.41,5.69,81.90,spicy; bitter,0,0,0,0,1,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2036,rosemary,38.4,0.46,0.88,0.15,9.93,,1.5,0.22,1.28,1.92,4.73,33.19,62.08,savory; bitter,1,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2041,tarragon,34.17,0.22,0.97,0.68,8.85,,1.86,0.06,0.22,1.51,25.50,18.25,56.25,savory,1,0,0,0,0,0,0,0,soft; tender,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2044,fresh basil,17.7,0.06,0.32,0.31,2.3,0.03,0.4,0,0.16,0.26,43.51,19.89,36.60,savory; bitter,1,0,0,0,1,0,0,0,tender; soft; moist,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2045,dill,10.4,0.06,0.33,0.17,2.15,,3.05,0,0.1,0.35,26.62,19.38,54.00,,0,0,0,0,0,0,0,0,tender,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2047,table salt,1.2,0,0.02,0,0,0,1937.9,0,0,0,0.00,0.00,0.00,salty,0,0,1,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2053,distilled white vinegar,0.9,0,0,0,2.7,0.01,0.3,0,0,0.01,0.00,0.00,2.40,sour,0,0,0,1,0,0,0,0,liquid,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2064,mint,12.15,0.05,0.25,0.19,3.5,,1.55,0.01,0.4,0.74,18.07,10.19,71.74,sweet,0,1,0,0,0,0,0,0,soft; tender; crispy,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4114,salad dressing,3.9,6.33,0.08,0.12,72,3.24,297.9,0.88,0,3.63,0.68,79.14,20.18,sour; fatty; salty; sweet,0,1,1,1,0,1,0,0,oily; smooth,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4615,shortening,0.14,14,0.01,0,123.76,0,0.56,3.5,0,0,0.00,100.00,0.00,fatty,0,0,0,0,0,1,0,0,smooth; oily,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4628,vegan buttery stick,0.42,11.3,0.02,0.02,100.38,,91.56,2.13,0,0.1,0.09,99.53,0.38,salty; fatty,0,0,1,0,0,1,0,0,soft; smooth; oily,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4673,soy buttery spread,,9.05,,0.02,81.62,0,90.44,2.34,0,0.02,0.10,99.81,0.09,savory; fatty,1,0,0,0,0,1,0,0,creamy; smooth; sticky,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
4679,vegetable oil cooking spray,0,3.93,0,0.01,39.6,0,2.95,0.58,0,1.03,0.13,89.42,10.45,fatty,0,0,0,0,0,1,0,0,oily,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5062,chicken breast,7,3.63,0.52,29.72,159.6,0,162.4,0.79,0,0,78.46,21.54,0.00,savory,1,0,0,0,0,0,0,0,tender; moist; juicy,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
5091,boneless skin on chicken thighs,9.04,18.77,0.76,18.35,247.47,0,87.01,5.06,0,0.28,30.15,69.39,0.46,savory; fatty,1,0,0,0,0,1,0,0,tender; moist; juicy; crispy,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
5114,cooked chicken,16.8,9.28,1.69,35.01,233.8,,105,2.53,0,0,62.64,37.36,0.00,savory,1,0,0,0,0,0,0,0,tender; juicy,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5139,whole duck,15.4,55.08,3.36,16.09,565.6,0,88.2,18.51,0,0,11.49,88.51,0.00,fatty; savory,1,0,0,0,0,1,0,0,tender; moist; oily,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
5696,boneless turkey breast,19.6,2.32,0.76,30.16,141.4,0.07,288.4,0.4,0,0,85.22,14.78,0.00,savory,1,0,0,0,0,0,0,0,tender; moist; juicy,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
6008,beef broth,14.4,0.53,0.41,2.74,16.8,0,892.8,0.26,0,0.1,68.06,29.55,2.39,savory; salty,1,0,1,0,0,0,0,0,oily,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6010,condensed cream of celery soup,97.6,13.6,1.52,4.03,219.6,4.12,1573.8,3.42,1.83,21.44,7.18,54.58,38.24,savory; salty,1,0,1,0,0,0,0,0,smooth; creamy,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6016,condensed cream of chicken soup,42.7,17.6,3.23,7.26,274.5,1.65,2141.1,5.18,0,21.84,10.57,57.64,31.79,savory; salty,1,0,1,0,0,0,0,0,smooth; creamy,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6080,chicken base,11.22,0.83,0.06,1,16.02,1.04,1432.5,0.21,0,1.08,25.28,47.39,27.33,salty; savory,1,0,1,0,0,0,0,0,smooth,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6147,condensed cream of mushroom soup,12.2,7.32,2.13,14.03,186.05,,2162.45,3.66,0.61,15.86,30.26,35.53,34.21,savory; salty,1,0,1,0,0,0,0,0,creamy; smooth,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6159,tomato soup,39.65,1.34,1.8,4.45,201.3,25.1,1149.85,0.35,3.36,46.42,8.26,5.60,86.14,sweet; sour; savory,1,1,0,1,0,0,0,0,smooth,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6599,green enchilada sauce,,0,0.36,1,24,4,520.2,0,1.02,5,16.70,0.00,83.30,spicy; savory; sour,1,0,0,1,0,0,1,0,smooth,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6615,vegetable stock,0,0,0,0,12,2.04,960,0,0,3.07,0.00,0.00,100.00,savory,1,0,0,0,0,0,0,0,liquid,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6963,fish stock,72,1.44,0.5,4.8,38.4,0.22,763.2,0.32,0,0.96,53.33,36.00,10.67,savory,1,0,0,0,0,0,0,0,oily,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6997,beef gravy,0,1.01,0,1.01,25.2,1.01,274.8,0.51,0,3.05,15.98,35.97,48.05,savory; fatty; salty,1,0,1,0,0,1,0,0,smooth; creamy,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8020,corn cereal,1.5,0.12,8.67,2.25,107.1,2.85,218.7,0.03,0.99,25.23,8.11,0.97,90.92,sweet,0,1,0,0,0,0,0,0,crunchy; crispy,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8029,bran flakes,13.2,0.63,8.4,2.97,98.4,5.58,162,0.12,5.49,24.15,10.41,4.97,84.62,,0,0,0,0,0,0,0,0,crispy; crunchy,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8121,cooked rolled oats,21.6,3.65,2.16,6.1,170.4,0.65,9.6,0.74,4.08,28.8,14.14,19.04,66.82,sweet,0,1,0,0,0,0,0,0,soft; moist; chewy,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
8164,cooked grits,2.4,0.94,1.37,2.95,156,0.22,4.8,0.14,1.68,33.26,7.70,5.50,86.80,salty; savory,1,0,1,0,0,0,0,0,soft; smooth,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9079,dried cranberries,3.6,0.44,0.16,0.07,123.2,29.04,2,0.04,2.12,33.12,0.20,2.87,96.93,sweet; sour,0,1,0,1,0,0,0,0,chewy,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9085,dried currants,49.28,0.12,1.05,1.92,162.4,34.89,24.08,0.05,2.46,43.12,4.24,0.61,95.15,sweet,0,1,0,0,0,0,0,0,chewy; sticky,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9089,figs,17.5,0.15,0.19,0.38,37,8.15,0.5,0.03,1.45,9.6,3.64,3.27,93.09,sweet; savory,1,1,0,0,0,0,0,0,soft; chewy; juicy; moist,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
9132,grapes,8.5,0.14,0.31,0.61,58.65,13.18,1.7,0.05,0.76,15.39,3.75,1.88,94.37,sweet; sour,0,1,0,1,0,0,0,0,juicy; soft; tender,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
